Gene	sgRNA	eff
ACADVL	sgRNA000115	1
ACADVL	sgRNA000113	1
ACADVL	sgRNA000114	1
ACADVL	sgRNA000116	1
ADARB1	sgRNA000271	1
ADARB1	sgRNA000270	1
ADARB1	sgRNA000269	1
ADARB1	sgRNA000272	1
ADCY9	sgRNA000307	1
ADCY9	sgRNA000308	1
ADCY9	sgRNA000305	1
ADCY9	sgRNA000306	1
ADH7	sgRNA000357	1
ADH7	sgRNA000359	1
ADH7	sgRNA000358	1
ADH7	sgRNA000360	1
APBA2	sgRNA000885	1
APBA2	sgRNA000888	1
APBA2	sgRNA000887	1
APBA2	sgRNA000886	1
ATP2A3	sgRNA001373	1
ATP2A3	sgRNA001375	1
ATP2A3	sgRNA001374	1
ATP2A3	sgRNA001376	1
BCKDHA	sgRNA001621	1
BCKDHA	sgRNA001624	1
BCKDHA	sgRNA001622	1
BCKDHA	sgRNA001623	1
BMX	sgRNA001814	1
BMX	sgRNA001813	1
BMX	sgRNA001816	1
BMX	sgRNA001815	1
CBLB	sgRNA002431	1
CBLB	sgRNA002429	1
CBLB	sgRNA002430	1
CBLB	sgRNA002432	1
COL15A1	sgRNA003649	1
COL15A1	sgRNA003652	1
COL15A1	sgRNA003650	1
COL15A1	sgRNA003651	1
ATF6B	sgRNA003869	1
ATF6B	sgRNA003872	1
ATF6B	sgRNA003871	1
ATF6B	sgRNA003870	1
DLST	sgRNA004819	1
DLST	sgRNA004818	1
DLST	sgRNA004820	1
DLST	sgRNA004817	1
ESD	sgRNA005797	1
ESD	sgRNA005799	1
ESD	sgRNA005800	1
ESD	sgRNA005798	1
ETV1	sgRNA005847	1
ETV1	sgRNA005848	1
ETV1	sgRNA005846	1
ETV1	sgRNA005845	1
FOXM1	sgRNA006420	1
FOXM1	sgRNA006417	1
FOXM1	sgRNA006418	1
FOXM1	sgRNA006419	1
FOXS1	sgRNA006425	1
FOXS1	sgRNA006428	1
FOXS1	sgRNA006427	1
FOXS1	sgRNA006426	1
FNTA	sgRNA006523	1
FNTA	sgRNA006521	1
FNTA	sgRNA006522	1
FNTA	sgRNA006524	1
SLC37A4	sgRNA006705	1
SLC37A4	sgRNA006707	1
SLC37A4	sgRNA006706	1
SLC37A4	sgRNA006708	1
GABRA6	sgRNA006757	1
GABRA6	sgRNA006759	1
GABRA6	sgRNA006758	1
GABRA6	sgRNA006760	1
GBA	sgRNA006931	1
GBA	sgRNA006930	1
GBA	sgRNA006929	1
GBA	sgRNA006932	1
GPM6A	sgRNA007481	1
GPM6A	sgRNA007484	1
GPM6A	sgRNA007482	1
GPM6A	sgRNA007483	1
NPBWR2	sgRNA007520	1
NPBWR2	sgRNA007517	1
NPBWR2	sgRNA007518	1
NPBWR2	sgRNA007519	1
GRINA	sgRNA007774	1
GRINA	sgRNA007773	1
GRINA	sgRNA007775	1
GRINA	sgRNA007776	1
HLA-DMA	sgRNA008390	1
HLA-DMA	sgRNA008389	1
HLA-DMA	sgRNA008391	1
HLA-DMA	sgRNA008392	1
HLA-DPB1	sgRNA008415	1
HLA-DPB1	sgRNA008413	1
HLA-DPB1	sgRNA008416	1
HLA-DPB1	sgRNA008414	1
HOXC9	sgRNA008729	1
HOXC9	sgRNA008730	1
HOXC9	sgRNA008732	1
HOXC9	sgRNA008731	1
HTR3A	sgRNA009046	1
HTR3A	sgRNA009045	1
HTR3A	sgRNA009048	1
HTR3A	sgRNA009047	1
IDUA	sgRNA009166	1
IDUA	sgRNA009168	1
IDUA	sgRNA009167	1
IDUA	sgRNA009165	1
IFNA21	sgRNA009252	1
IFNA21	sgRNA009249	1
IFNA21	sgRNA009251	1
IFNA21	sgRNA009250	1
CXCR1	sgRNA009460	1
CXCR1	sgRNA009457	1
CXCR1	sgRNA009459	1
CXCR1	sgRNA009458	1
KLRC2	sgRNA010229	1
KLRC2	sgRNA010231	1
KLRC2	sgRNA010230	1
KLRC2	sgRNA010232	1
MGP	sgRNA011457	1
MGP	sgRNA011459	1
MGP	sgRNA011458	1
MGP	sgRNA011460	1
MYO6	sgRNA012115	1
MYO6	sgRNA012116	1
MYO6	sgRNA012113	1
MYO6	sgRNA012114	1
MYO7B	sgRNA012122	1
MYO7B	sgRNA012124	1
